ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,total_num_kids,Dt_Customer_datetime,total_days_enlisted,total_campaigns_accepted,age,total_spent,age_group
5524,1957,Bachelors,Single,58138,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,0,2012-09-04,663,0,57,1617,50s
2174,1954,Bachelors,Single,46344,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,2,2014-03-08,113,0,60,27,60+
4141,1965,Bachelors,Together,71613,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2013-08-21,312,0,49,776,40s
6182,1984,Bachelors,Together,26646,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,1,2014-02-10,139,0,30,53,30s
5324,1981,PhD,Married,58293,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,1,2014-01-19,161,0,33,422,30s
7446,1967,Master,Together,62513,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,1,2013-09-09,293,0,47,716,40s
965,1971,Bachelors,Divorced,55635,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,1,2012-11-13,593,0,43,590,40s
6177,1985,PhD,Married,33454,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,1,2013-05-08,417,0,29,169,under 30
4855,1974,PhD,Together,30351,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,2013-06-06,388,0,40,46,40s
5899,1950,PhD,Together,5648,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,2,2014-03-13,108,1,64,49,60+
387,1976,High School,Married,7500,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,2012-11-13,593,0,38,61,30s
2125,1959,Bachelors,Divorced,63033,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,2013-11-15,226,0,55,1102,50s
8180,1952,Master,Divorced,59354,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,2,2013-11-15,226,0,62,310,60+
2569,1987,Bachelors,Married,17323,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,2012-10-10,627,0,27,46,under 30
2114,1946,PhD,Single,82800,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,0,2012-11-24,582,2,68,1315,60+
9736,1980,Bachelors,Married,41850,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,2,2012-12-24,552,0,34,96,30s
4939,1946,Bachelors,Together,37760,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,2012-08-31,667,0,68,317,60+
6565,1949,Master,Married,76995,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,1,2013-03-28,458,1,65,1782,60+
2278,1985,2n Cycle,Single,33812,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,1,2012-11-03,603,0,29,133,under 30
9360,1982,Bachelors,Married,37040,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2012-08-08,690,0,32,316,30s
5376,1979,Bachelors,Married,2447,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,1,2013-01-06,539,0,35,1730,30s
1993,1949,PhD,Married,58607,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,1,2012-12-23,553,1,65,972,60+
4047,1954,PhD,Married,65324,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,1,2014-01-11,169,0,60,544,60+
1409,1951,Bachelors,Together,40689,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,1,2013-03-18,468,0,63,444,60+
7892,1969,Bachelors,Single,18589,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,2013-01-02,543,0,45,75,40s
2404,1976,Bachelors,Married,53359,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,2,2013-05-27,398,0,38,257,30s
9422,1989,Bachelors,Married,38360,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,1,2013-05-31,394,0,25,131,under 30
1966,1965,PhD,Married,84618,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,2013-11-22,219,1,49,1672,40s
6864,1989,Master,Divorced,10979,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,2014-05-22,38,0,25,30,under 30
3033,1963,Master,Together,38620,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2013-05-11,414,0,51,318,50s
5710,1970,Bachelors,Together,40548,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,1,2012-10-10,627,1,44,120,40s
7373,1952,PhD,Divorced,46610,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,2,2012-10-29,608,0,62,302,60+
8755,1946,Master,Married,68657,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,2013-02-20,494,0,68,1196,60+
10738,1951,Master,Single,49389,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,2,2013-08-29,304,0,63,65,60+
4339,1970,PhD,Married,67353,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,1,2013-12-31,180,0,44,913,40s
10755,1976,2n Cycle,Married,23718,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,1,2013-09-02,300,0,38,81,30s
8595,1973,Bachelors,Widow,42429,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,1,2014-02-11,138,0,41,67,40s
2968,1943,PhD,Divorced,48948,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,0,2013-02-01,513,1,71,902,60+
8601,1980,Bachelors,Married,80011,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,1,2013-04-29,426,0,34,1395,30s
